InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0.7,9,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,9,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,10,AllSensorsTime,0.7,0.120441100673918,0.158822499890128,0.415728721025746
0.7,10,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,10,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
1,1,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,1,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,1,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,2,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,2,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,2,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,3,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,3,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,3,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,4,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,4,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,4,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,5,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,5,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,5,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,6,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,6,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,6,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,7,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,7,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,7,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,8,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
1,8,QualityAwareTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,8,QualityGatedTime,1,0.109701280949671,0.15201262207762,0.464758494576699
1,9,AllSensorsTime,1,0.106536604949945,0.141811214829307,0.534186964451202
